_id,nume_produs,valabilitate_produs,pret_produs,link_produs,imagine_produs,_id_principal_category,_id_second_category
evo_i5446,"Cutter metalic Stanley 0-10-818, lama trapezoidala, 205 mm (FatMax)",In stoc (exclusiv online),"[[null,""73,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-metalic-stanley-0-10-818-lama-trapezoidala-205-mm-fatmax-3584069.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584069%2F1495621275rot.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5447,"Foarfeca pentru tabla Stanley 2-14-556, 250 mm",In stoc (exclusiv online),"[[null,""67,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-foarfeca-pentru-tabla-stanley-2-14-556-250-mm-3585516.html,https://static3.evomag.ro/img?file=products%2F3585%2F3585516%2F1496830198hgpo5.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5448,Mini bomfaier Stanley,In stoc (exclusiv online),"[[null,""12,45 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-mini-bomfaier-stanley-2450343.html,https://static3.evomag.ro/img?file=products%2F2450%2F2450343%2F1469104042maxp5.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5449,Foarfeca pentru tabla Stanley taietura pe stanga,In stoc (exclusiv online),"[[null,""53,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-foarfeca-pentru-tabla-stanley-taietura-pe-stanga-115694.html,https://static3.evomag.ro/img?file=products%2F115%2F115694%2FFoarfeca+pentru+tabla+Stanley+taietura+pe+stanga.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5450,Fierastrau pentru taiat placi de ghips Stanley FatMax,In stoc (exclusiv online),"[[null,""53,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-fierastrau-pentru-taiat-placi-de-ghips-stanley-fatmax-115703.html,https://static3.evomag.ro/img?file=products%2F115%2F115703%2FFierastrau+pentru+taiat+placi+de+ghips+Stanley+FatMax.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5451,"Cutter metalic Stanley 0-10-095, lame segmentate, 9mm",In stoc (exclusiv online),"[[null,""21,30 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-metalic-stanley-0-10-095-lame-segmentate-9mm-3584017.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584017%2F1495617855metalic.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5452,"Set 5 panze bomfaier Junior Stanley 3-15-905, 150 mm",In stoc (exclusiv online),"[[null,""13,16 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-set-5-panze-bomfaier-junior-stanley-3-15-905-150-mm-3584850.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584850%2F1496151034lame.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5453,"Dispozitiv ajustabil pentru taiat tevi Stanley 0-70-448, 3 - 30 mm",In stoc (exclusiv online),"[[null,""71,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-dispozitiv-ajustabil-pentru-taiat-tevi-stanley-0-70-448-3-30-mm-3588681.html,https://static3.evomag.ro/img?file=products%2F3588%2F3588681%2F1498543094olko21.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5454,"Panza fierastrau pendular Bosch T244D, tija cu un prag de prindere (T), 100 mm, lemn, taiere curba, grosiera, 5 bucati",In stoc (exclusiv online),"[[null,""25,40 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/bosch-panza-fierastrau-pendular-bosch-t244d-tija-cu-un-prag-de-prindere-t-100-mm-lemn-taiere-curba-grosiera-5-bucati-3672348.html,https://static3.evomag.ro/img?file=products%2F3672%2F3672348%2F1547190173dfn1.JPG&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5455,"Ciocan universal Fiskars L 156001, 600 g, 35 cm ",In stoc (exclusiv online),"[[null,""199,99 Lei"",{""$date"":""2020-06-08T18:13:34Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-pentru-constructii/fiskars-ciocan-universal-fiskars-l-156001-600-g-35-cm-3585684.html,https://static3.evomag.ro/img?file=products%2F3585%2F3585684%2F1496907354bfv1.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s145
